member_casual,start_station_name,month,no_of_trips
member,Sheridan Rd & Irving Park Rd,July,1443
member,Clinton St & Jackson Blvd,June,1442
casual,Broadway & Barry Ave,September,1436
casual,Clark St & Drummond Pl,June,1436
member,Damen Ave & Pierce Ave,June,1436
member,Federal St & Polk St,July,1436
casual,Michigan Ave & Lake St,June,1435
casual,Clark St & Elm St,May,1434
member,Clinton St & Lake St,June,1434
member,Wells St & Concord Ln,April,1434
casual,Michigan Ave & Washington St,May,1432
casual,Clark St & Newport St,September,1429
casual,Sheffield Ave & Waveland Ave,August,1427
casual,Sheffield Ave & Wrightwood Ave,June,1427
member,Clark St & Wrightwood Ave,May,1427
member,Kimbark Ave & 53rd St,October,1427
casual,Lincoln Park Conservatory,July,1426
member,Pine Grove Ave & Waveland Ave,September,1425
member,Wabash Ave & Roosevelt Rd,May,1424
member,Kingsbury St & Erie St,July,1423
member,Indiana Ave & Roosevelt Rd,May,1421
member,McClurg Ct & Ohio St,August,1421
member,Southport Ave & Roscoe St,August,1421
casual,Dearborn St & Erie St,June,1418
member,Halsted St & Roscoe St,August,1418
member,LaSalle St & Illinois St,September,1418
casual,Michigan Ave & 8th St,May,1415
casual,Wilton Ave & Belmont Ave,September,1414
member,Green St & Madison St,May,1414
member,Michigan Ave & Washington St,September,1414
member,Morgan St & Polk St,August,1414
member,Southport Ave & Waveland Ave,September,1412
casual,Southport Ave & Roscoe St,June,1411
member,Larrabee St & Webster Ave,September,1408
member,900 W Harrison St,September,1407
member,Sheffield Ave & Waveland Ave,August,1407
casual,Lincoln Ave & Fullerton Ave,August,1405
member,Clark St & Newport St,August,1405
member,Sheffield Ave & Wellington Ave,July,1405
casual,Dusable Harbor,September,1402
casual,Southport Ave & Roscoe St,July,1401
casual,Wabash Ave & Grand Ave,May,1400
member,Montrose Harbor,June,1400
member,Halsted St & Wrightwood Ave,August,1397
casual,Clark St & Newport St,May,1392
member,Dearborn St & Monroe St,June,1392
member,State St & Chicago Ave,July,1391
member,Clark St & Elm St,November,1388
member,Fairbanks Ct & Grand Ave,August,1388
member,Ashland Ave & Division St,May,1385
member,Kingsbury St & Erie St,June,1385
member,Dearborn St & Monroe St,August,1384
member,Sheffield Ave & Wrightwood Ave,June,1382
casual,Michigan Ave & Lake St,August,1380
casual,Wabash Ave & Roosevelt Rd,July,1380
member,Michigan Ave & Washington St,August,1380
member,Clark St & Schiller St,August,1379
member,Michigan Ave & Lake St,August,1378
member,Wells St & Evergreen Ave,June,1378
member,Clinton St & Lake St,July,1377
member,LaSalle St & Illinois St,May,1377
member,DuSable Lake Shore Dr & Belmont Ave,July,1374
member,Lincoln Ave & Fullerton Ave,June,1374
member,Racine Ave & Fullerton Ave,July,1374
member,Michigan Ave & Washington St,May,1373
member,Sheffield Ave & Webster Ave,September,1373
casual,DuSable Lake Shore Dr & Monroe St,March,1371
member,Loomis St & Lexington St,November,1371
casual,Damen Ave & Pierce Ave,June,1370
casual,Fairbanks Ct & Grand Ave,July,1370
member,Sheffield Ave & Waveland Ave,June,1370
casual,Wilton Ave & Belmont Ave,May,1368
member,Clinton St & Jackson Blvd,October,1368
member,Ellis Ave & 55th St,September,1368
member,Larrabee St & Webster Ave,May,1368
member,Wilton Ave & Belmont Ave,October,1367
member,Clinton St & Washington Blvd,March,1364
member,Lakeview Ave & Fullerton Pkwy,September,1363
member,Clark St & Wrightwood Ave,October,1362
member,Southport Ave & Roscoe St,September,1361
member,Clinton St & Madison St,November,1360
member,Wilton Ave & Diversey Pkwy,August,1358
member,DuSable Lake Shore Dr & Belmont Ave,June,1357
member,Halsted St & Clybourn Ave,May,1357
casual,Wells St & Elm St,May,1356
casual,Ashland Ave & Division St,June,1355
member,Canal St & Adams St,November,1349
member,Ravenswood Ave & Lawrence Ave,August,1349
member,Stockton Dr & Wrightwood Ave,June,1349
casual,DuSable Lake Shore Dr & Wellington Ave,August,1348
casual,Millennium Park,April,1348
casual,St. Clair St & Erie St,July,1346
member,Wells St & Hubbard St,October,1345
casual,Adler Planetarium,September,1344
